sample-id,delphinidae_all,other_mm_all,mm_any_all,delphinus_tot_reads,Bio-rep,unique_biorep_numeric,Tech-rep,Cruise,Date_YYYYMMDD,Primer,Primer_numeric,Collection_method,Collection_method_numeric,Collection_device,Collection_device_numeric,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,bottle,latitude,longitude,Ecological Notes,Processing Notes
003_GEM_2_170m-1,0,0,0,0,1,34,2,202210,20221014,DL,1,GEMCAP,1,CTD,1,170,1000,800 - 1000,82.7 46.1,2210RL_003,3,2,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_2_170m-2,0,0,0,0,1,34,3,202210,20221014,DL,1,GEMCAP,1,CTD,1,170,1000,800 - 1000,82.7 46.1,2210RL_003,3,2,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_3_100m,1,0,1,147,1,26,1,202210,20221014,DL,1,GEMCAP,1,CTD,1,100,1000,800 - 1000,82.7 46.1,2210RL_003,3,3,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_3_100m-1,1,0,1,2229,1,26,2,202210,20221014,DL,1,GEMCAP,1,CTD,1,100,1000,800 - 1000,82.7 46.1,2210RL_003,3,3,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_3_100m-2,1,0,1,8087,1,26,3,202210,20221014,DL,1,GEMCAP,1,CTD,1,100,1000,800 - 1000,82.7 46.1,2210RL_003,3,3,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_5_Chlamax_38m,0,0,0,0,1,36,1,202210,20221014,DL,1,GEMCAP,1,CTD,1,38,1000,800 - 1000,82.7 46.1,2210RL_003,3,5,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_5_Chlamax_38m-1,0,0,0,0,1,36,2,202210,20221014,DL,1,GEMCAP,1,CTD,1,38,1000,800 - 1000,82.7 46.1,2210RL_003,3,5,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_5_Chlamax_38m-2,0,0,0,0,1,36,3,202210,20221014,DL,1,GEMCAP,1,CTD,1,38,1000,800 - 1000,82.7 46.1,2210RL_003,3,5,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_7_10m,0,0,0,0,1,30,1,202210,20221014,DL,1,GEMCAP,1,CTD,1,10,1000,800 - 1000,82.7 46.1,2210RL_003,3,7,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_7_10m-1,0,0,0,0,1,30,2,202210,20221014,DL,1,GEMCAP,1,CTD,1,10,1000,800 - 1000,82.7 46.1,2210RL_003,3,7,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_7_10m-2,1,0,1,395736,1,30,3,202210,20221014,DL,1,GEMCAP,1,CTD,1,10,1000,800 - 1000,82.7 46.1,2210RL_003,3,7,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_4_100m_01,1,0,1,84,1,27,1,202210,20221014,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,4,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_4_100m_01-1,1,0,1,3126,1,27,2,202210,20221014,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,4,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
