sample-id,mm_detect,Bio-rep,unique_biorep,uniqiue_biorep_numeric,Tech-rep,Pool,Cruise,Date_YYYYMMDD,Collection_method,Collection_method_numeric,Collection_device,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,depth_m_ZG,bottle,volume_L_ZG,latitude,longitude,Ecological Notes,Processing Notes
002_Win_4_Chlamax_30m_03-3,0,3,2210RL_00230RREAS3,22,3,BAE02,202210,20221013,RREAS,2,CTD,30,1400,1400 - 2000,81.2 53.9,2210RL_002,2,30,4,1.4,34.14325333,-119.4080033,,
002_Win_6_10m_01,0,1,2210RL_00210RREAS1,16,1,BAE02,202210,20221013,RREAS,2,CTD,10,2000,1400 - 2000,81.2 53.9,2210RL_002,2,10,6,2,34.14325333,-119.4080033,,
002_Win_6_10m_01-1,0,1,2210RL_00210RREAS1,16,2,BAE01,202210,20221013,RREAS,2,CTD,10,2000,1400 - 2000,81.2 53.9,2210RL_002,2,10,6,2,34.14325333,-119.4080033,,
002_Win_6_10m_01-2,0,1,2210RL_00210RREAS1,16,3,BAE01,202210,20221013,RREAS,2,CTD,10,2000,1400 - 2000,81.2 53.9,2210RL_002,2,10,6,2,34.14325333,-119.4080033,,
002_Win_6_10m_02,0,2,2210RL_00210RREAS2,17,1,BAE01,202210,20221013,RREAS,2,CTD,10,2000,1400 - 2000,81.2 53.9,2210RL_002,2,10,6,2,34.14325333,-119.4080033,,
002_Win_6_10m_02-2,1,2,2210RL_00210RREAS2,17,2,BAE02,202210,20221013,RREAS,2,CTD,10,2000,1400 - 2000,81.2 53.9,2210RL_002,2,10,6,2,34.14325333,-119.4080033,,
002_Win_6_10m_02-3,1,2,2210RL_00210RREAS2,17,3,BAE02,202210,20221013,RREAS,2,CTD,10,2000,1400 - 2000,81.2 53.9,2210RL_002,2,10,6,2,34.14325333,-119.4080033,,
002_Win_6_10m_03,0,3,2210RL_00210RREAS3,18,1,BAE01,202210,20221013,RREAS,2,CTD,10,1500,1400 - 2000,81.2 53.9,2210RL_002,2,10,6,1.5,34.14325333,-119.4080033,,
002_Win_6_10m_03-2,0,3,2210RL_00210RREAS3,18,2,BAE02,202210,20221013,RREAS,2,CTD,10,1500,1400 - 2000,81.2 53.9,2210RL_002,2,10,6,1.5,34.14325333,-119.4080033,,
002_Win_6_10m_03-3,0,3,2210RL_00210RREAS3,18,3,BAE02,202210,20221013,RREAS,2,CTD,10,1500,1400 - 2000,81.2 53.9,2210RL_002,2,10,6,1.5,34.14325333,-119.4080033,,
003_GEM_1_260m,0,1,2210RL_003260GEMCAP1,35,1,BAE02,202210,20221014,GEMCAP,1,CTD,260,1000,800 - 1000,82.7 46.1,2210RL_003,3,260,1,1,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_1_260m-1,0,1,2210RL_003260GEMCAP1,35,2,BAE01,202210,20221014,GEMCAP,1,CTD,260,1000,800 - 1000,82.7 46.1,2210RL_003,3,260,1,1,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_1_260m-2,0,1,2210RL_003260GEMCAP1,35,3,BAE01,202210,20221014,GEMCAP,1,CTD,260,1000,800 - 1000,82.7 46.1,2210RL_003,3,260,1,1,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_2_170m,0,1,2210RL_003170GEMCAP1,34,1,BAE02,202210,20221014,GEMCAP,1,CTD,170,1000,800 - 1000,82.7 46.1,2210RL_003,3,170,2,1,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_2_170m-1,0,1,2210RL_003170GEMCAP1,34,2,BAE01,202210,20221014,GEMCAP,1,CTD,170,1000,800 - 1000,82.7 46.1,2210RL_003,3,170,2,1,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_2_170m-2,0,1,2210RL_003170GEMCAP1,34,3,BAE01,202210,20221014,GEMCAP,1,CTD,170,1000,800 - 1000,82.7 46.1,2210RL_003,3,170,2,1,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_3_100m,1,1,2210RL_003100GEMCAP1,26,1,BAE02,202210,20221014,GEMCAP,1,CTD,100,1000,800 - 1000,82.7 46.1,2210RL_003,3,100,3,1,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_3_100m-1,1,1,2210RL_003100GEMCAP1,26,2,BAE01,202210,20221014,GEMCAP,1,CTD,100,1000,800 - 1000,82.7 46.1,2210RL_003,3,100,3,1,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_3_100m-2,1,1,2210RL_003100GEMCAP1,26,3,BAE01,202210,20221014,GEMCAP,1,CTD,100,1000,800 - 1000,82.7 46.1,2210RL_003,3,100,3,1,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_5_Chlamax_38m,0,1,2210RL_00338GEMCAP1,36,1,BAE02,202210,20221014,GEMCAP,1,CTD,38,1000,800 - 1000,82.7 46.1,2210RL_003,3,38,5,1,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_5_Chlamax_38m-1,0,1,2210RL_00338GEMCAP1,36,2,BAE01,202210,20221014,GEMCAP,1,CTD,38,1000,800 - 1000,82.7 46.1,2210RL_003,3,38,5,1,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_5_Chlamax_38m-2,0,1,2210RL_00338GEMCAP1,36,3,BAE01,202210,20221014,GEMCAP,1,CTD,38,1000,800 - 1000,82.7 46.1,2210RL_003,3,38,5,1,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_7_10m,0,1,2210RL_00310GEMCAP1,30,1,BAE02,202210,20221014,GEMCAP,1,CTD,10,1000,800 - 1000,82.7 46.1,2210RL_003,3,10,7,0.9,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_7_10m-1,0,1,2210RL_00310GEMCAP1,30,2,BAE01,202210,20221014,GEMCAP,1,CTD,10,1000,800 - 1000,82.7 46.1,2210RL_003,3,10,7,0.9,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_7_10m-2,1,1,2210RL_00310GEMCAP1,30,3,BAE01,202210,20221014,GEMCAP,1,CTD,10,1000,800 - 1000,82.7 46.1,2210RL_003,3,10,7,0.9,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_4_100m_01,1,1,2210RL_003100RREAS1,27,1,BAE02,202210,20221014,RREAS,2,CTD,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,100,4,2,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_Win_4_100m_01-1,1,1,2210RL_003100RREAS1,27,2,BAE01,202210,20221014,RREAS,2,CTD,100,2000,1400 - 2000,82.7 46.1,2210RL_003,3,100,4,2,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
