sample-id,delphinidae_all,other_mm_all,mm_any_all,delphinus_tot_reads,Bio-rep,unique_biorep_numeric,Tech-rep,Pool,Cruise,Date_YYYYMMDD,Primer,Primer_numeric,Collection_method,Collection_method_numeric,Collection_device,Collection_device_numeric,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,bottle,latitude,longitude,Ecological Notes,Processing Notes
014_Win_4_100m_01,0,0,0,0,1,160,1,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 63.6,2210RL_014,14,4,35.7642,-121.3789217,,
014_Win_4_100m_01-1,0,0,0,0,1,160,2,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 63.6,2210RL_014,14,4,35.7642,-121.3789217,,
014_Win_4_100m_01-2,0,0,0,0,1,160,3,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 63.6,2210RL_014,14,4,35.7642,-121.3789217,,
014_Win_4_100m_02,0,0,0,0,2,161,1,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 63.6,2210RL_014,14,4,35.7642,-121.3789217,,
014_Win_4_100m_02-2,0,0,0,0,2,161,2,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 63.6,2210RL_014,14,4,35.7642,-121.3789217,,
014_Win_4_100m_02-3,0,0,0,0,2,161,3,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 63.6,2210RL_014,14,4,35.7642,-121.3789217,,
014_Win_4_100m_03,0,0,0,0,3,162,1,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 63.6,2210RL_014,14,4,35.7642,-121.3789217,,
014_Win_4_100m_03-2,0,0,0,0,3,162,2,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 63.6,2210RL_014,14,4,35.7642,-121.3789217,,
014_Win_4_100m_03-3,0,0,0,0,3,162,3,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,70.0 63.6,2210RL_014,14,4,35.7642,-121.3789217,,
014_GEM_2_170m,0,0,0,0,1,167,1,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,170,1000,800 - 1000,70.0 63.6,2210RL_014,14,2,35.7642,-121.3789217,,
014_GEM_2_170m-1,1,0,1,2,1,167,2,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,170,1000,800 - 1000,70.0 63.6,2210RL_014,14,2,35.7642,-121.3789217,,
