sample-id,delphinidae_all,other_mm_all,mm_any_all,delphinidae_tot_reads,Bio-rep,unique_biorep_numeric,Tech-rep,Cruise,Date_YYYYMMDD,Primer,Primer_numeric,Collection_method,Collection_method_numeric,Collection_device,Collection_device_numeric,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,bottle,latitude,longitude,input,filtered,denoisedF,denoisedR,merged,nonchim,length_filter
002_Win_2_90m_01-1,1.0,0.0,1.0,15.0,1.0,24.0,2.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,90.0,2000.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,2.0,34.14325333,-119.4080033,8669,7429,10806,10624,5059,5055,1875
002_Win_2_90m_01-2,0.0,0.0,0.0,0.0,1.0,24.0,3.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,90.0,2000.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,2.0,34.14325333,-119.4080033,934705,808543,899411,900024,542766,511560,133761
002_Win_2_90m_03,0.0,0.0,0.0,0.0,2.0,25.0,1.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,90.0,1800.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,2.0,34.14325333,-119.4080033,331452,299728,318138,318083,20444,19970,2399
002_Win_2_90m_03-2,0.0,0.0,0.0,0.0,2.0,25.0,2.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,90.0,1800.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,2.0,34.14325333,-119.4080033,83448,68432,69817,69666,48275,46885,11890
002_Win_2_90m_03-3,0.0,0.0,0.0,0.0,2.0,25.0,3.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,90.0,1800.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,2.0,34.14325333,-119.4080033,427276,379994,419490,419541,177969,175522,73988
002_Win_4_Chlamax_30m_01,0.0,0.0,0.0,0.0,1.0,20.0,1.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,30.0,2000.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,4.0,34.14325333,-119.4080033,486975,417504,451427,455398,406950,401984,36694
002_Win_4_Chlamax_30m_01-1,0.0,0.0,0.0,0.0,1.0,20.0,2.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,30.0,2000.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,4.0,34.14325333,-119.4080033,650274,582904,684552,683476,630025,625740,209044
002_Win_4_Chlamax_30m_01-2,0.0,0.0,0.0,0.0,1.0,20.0,3.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,30.0,2000.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,4.0,34.14325333,-119.4080033,786877,690903,747922,746667,703900,680230,121953
002_Win_4_Chlamax_30m_02,0.0,0.0,0.0,0.0,2.0,21.0,1.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,30.0,2000.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,4.0,34.14325333,-119.4080033,318181,252016,268004,267728,145609,144763,21101
002_Win_4_Chlamax_30m_02-2,0.0,0.0,0.0,0.0,2.0,21.0,2.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,30.0,2000.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,4.0,34.14325333,-119.4080033,395055,353519,365747,365516,254349,252589,25148
002_Win_4_Chlamax_30m_02-3,0.0,0.0,0.0,0.0,2.0,21.0,3.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,30.0,2000.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,4.0,34.14325333,-119.4080033,705167,630179,761502,761350,555753,554088,27696
002_Win_4_Chlamax_30m_03,0.0,0.0,0.0,0.0,3.0,22.0,1.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,30.0,1400.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,4.0,34.14325333,-119.4080033,40707,35479,38720,38739,16018,16018,4252
002_Win_4_Chlamax_30m_03-2,0.0,0.0,0.0,0.0,3.0,22.0,2.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,30.0,1400.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,4.0,34.14325333,-119.4080033,31653,26083,27495,27442,15469,15370,7319
002_Win_4_Chlamax_30m_03-3,0.0,0.0,0.0,0.0,3.0,22.0,3.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,30.0,1400.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,4.0,34.14325333,-119.4080033,252839,224567,239620,239257,157265,156329,66010
002_Win_6_10m_01,0.0,0.0,0.0,0.0,1.0,16.0,1.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,2000.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,6.0,34.14325333,-119.4080033,407649,337432,386868,386880,335229,332465,65548
002_Win_6_10m_01-1,0.0,0.0,0.0,0.0,1.0,16.0,2.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,2000.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,6.0,34.14325333,-119.4080033,849224,774431,809652,810014,504378,502543,226462
002_Win_6_10m_01-2,0.0,0.0,0.0,0.0,1.0,16.0,3.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,2000.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,6.0,34.14325333,-119.4080033,724960,632913,696502,695818,529130,525020,79027
002_Win_6_10m_02,0.0,0.0,0.0,0.0,2.0,17.0,1.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,2000.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,6.0,34.14325333,-119.4080033,337051,312405,337704,338412,128589,128387,53194
002_Win_6_10m_02-2,1.0,0.0,1.0,58601.0,2.0,17.0,2.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,2000.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,6.0,34.14325333,-119.4080033,627142,539549,575135,573908,499869,484461,93569
002_Win_6_10m_02-3,0.0,1.0,1.0,0.0,2.0,17.0,3.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,2000.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,6.0,34.14325333,-119.4080033,132421,102979,136082,134689,119046,117966,40639
002_Win_6_10m_03,0.0,0.0,0.0,0.0,3.0,18.0,1.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,1500.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,6.0,34.14325333,-119.4080033,2508,2176,2611,2592,2003,2003,989
002_Win_6_10m_03-2,0.0,0.0,0.0,0.0,3.0,18.0,2.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,1500.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,6.0,34.14325333,-119.4080033,23075,20255,20809,21759,15381,15331,1195
